Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,1,1,1,3,12,1.9589806,9005,31,105797,0
3,10,17,34,62,126,226,0.009,34221,28,182927.31,1
0,2,10,20,42,84,143,11.7183617,8779,39,102729.61,1
0,0,0,0,0,3,11,7.5815086,8924,42,125739.63,0
0,0,7,11,17,27,139,1.4470516,18614,30,169443.96,1
0,0,0,1,1,2,15,4.2544095,13117,41,90426.02,0
1,3,6,14,33,61,143,4.9621768,8924,42,125739.63,1
0,0,0,0,0,1,7,9.1920401,12356,37,101759,0
0,0,0,0,1,1,12,6.4536811,12360,42,95556,0
0,0,0,0,0,1,3,7.5286121,6513,35,102979.26,0
1,3,4,9,24,70,154,4.23384,12360,42,95556,1
0,4,8,19,41,90,120,9.9830963,9450,38,96353.24,1
0,0,0,0,2,2,23,6.114069,32144,31,167577.18,0
0,2,7,15,30,59,121,5.4711538,11311,34,124159,1
0,0,0,0,0,4,36,9.6604252,29708,32,152263,0
0,1,2,9,18,34,113,10.1833197,27338,33,137513.32,1
2,2,2,8,49,84,222,0.061327,18614,30,169443.96,1
3,3,5,5,6,19,63,0.0963172,34221,28,182927.31,1
0,0,0,0,1,4,26,6.6049896,9809,40,146348,0
0,1,3,10,16,25,201,0.9888503,32144,30,169577.18,1
0,0,0,1,2,7,31,3.616154,8748,32,158305,0
0,1,7,15,31,67,122,9.4320616,11311,34,124159,1
0,0,0,8,26,45,76,9.4540996,32393,30,142538.14,1
0,0,0,0,0,0,2,10.3947102,7492,41,87300,0
0,0,0,2,2,2,4,2.4225813,17870,41,143598.91,0
0,2,20,36,62,92,224,0.7841479,18614,30,169443.96,1
2,2,27,68,98,146,243,0.1718197,34221,28,182927.31,1
9,9,26,72,106,147,237,0.0130384,34221,28,182927.31,1
0,2,9,16,41,84,236,1.2222766,34221,28,182927.31,1
7,18,22,42,57,94,231,0.0264764,36981,31,164856,1
0,0,1,7,11,21,169,2.5862734,32144,30,169577.18,1
0,0,1,14,22,61,183,3.6968097,34221,28,182927.31,1
1,3,9,18,58,162,234,11.7183617,9450,38,96353.24,1
0,0,5,9,18,42,132,6.0240041,12210,31,131646.75,1
1,5,8,15,21,30,192,0.0376563,32144,30,169577.18,1
5,7,15,32,45,126,224,0.0296142,34221,28,182927.31,1
0,3,9,24,36,87,176,3.0899858,7820,32,103761.97,1
0,0,2,6,17,35,112,5.0159908,16734,38,150821.66,1
0,0,0,0,0,1,5,7.119691,27338,37,136748,0
0,3,9,18,29,59,114,9.047099,3673,41,125552,1
1,2,6,17,34,61,125,0.0842057,11258,38,116987,1
0,7,14,80,115,143,227,0.6352903,34221,28,182927.31,1
1,3,14,32,45,105,225,0.1546254,34221,28,182927.31,1
0,0,0,0,0,1,2,9.3214806,5023,39,111509.65,0
0,0,0,0,1,2,11,6.6910388,11311,34,124159,0
0,0,3,11,52,117,230,12.5781557,17870,41,143598.91,1
0,0,1,1,3,4,6,1.9100812,12356,37,101759,0
0,1,2,6,12,48,169,10.1530794,27338,37,136748,1
3,3,3,4,4,24,77,0.0490102,6232,39,128184,1
0,1,3,15,20,68,192,1.3691446,18614,30,169443.96,1
0,0,0,0,0,0,7,10.0957219,12356,37,101759,0
0,0,0,1,1,1,3,4.7423623,5023,39,111509.65,0
0,0,0,1,1,2,7,2.9966648,5023,39,111509.65,0
0,0,0,0,0,1,3,7.2111026,16871,35,144796,0
0,0,0,1,1,5,9,4.7169906,11258,38,116987,0
5,5,8,10,24,44,165,0.0590339,32393,30,142538.14,1
0,0,0,0,6,10,27,5.3666385,11311,34,124159,0
2,15,18,49,73,126,212,0.2825119,34221,28,182927.31,1
0,4,7,23,61,145,265,5.6097041,13117,41,90426.02,1
0,2,5,10,20,60,187,8.4239932,20434,39,126866,1
1,3,7,24,61,89,237,0.2687043,36981,31,164856,1
3,3,3,4,4,23,177,0.0594138,6232,39,128184,1
0,0,0,1,3,12,40,3.1382495,34221,28,182927.31,0
0,0,2,4,11,29,93,11.9,15069,44,100927.19,1
0,0,0,2,2,4,10,3.9051248,11258,38,116987,0
0,0,0,0,0,0,4,13.4479684,5023,39,111509.65,0
0,1,4,14,25,51,116,10.3,5023,39,111509.65,1
2,2,18,55,64,102,237,0.1140175,18614,30,169443.96,1
0,0,0,0,0,1,1,9.6540147,7769,42,106839.01,0
7,18,22,42,57,94,231,0.0264764,36981,31,164856,1
0,5,12,26,56,104,220,11.3547347,16871,35,144796,1
0,0,0,0,0,1,17,8.3050491,8748,32,158305,0
1,2,5,22,55,100,204,0,12210,31,131646.75,1
1,1,8,37,76,126,217,0,34221,28,182927.31,1
0,0,0,1,2,3,9,4.9335586,16734,38,150821.66,0
0,0,0,1,3,6,21,3.3819043,26977,23,148577.18,0
0,0,0,0,1,1,3,5.2611786,11251,41,106476,0
0,0,1,2,4,7,33,1.3403619,29708,32,152263,0
0,0,0,0,0,2,7,9.5015788,32393,30,142538.14,0
0,1,4,16,45,90,180,1.0215844,12346,41,117432,1
0,0,0,0,1,2,7,6.4725652,11258,38,116987,0
15,16,19,59,75,131,213,0.0396989,34221,28,182927.31,1
0,2,6,18,36,65,126,7.5076237,9546,34,147858.21,1
0,0,0,1,1,1,3,3.2202484,27338,33,137513.32,0
0,0,0,0,0,2,4,8.7171612,7769,42,106839.01,0
0,0,3,8,20,26,76,1.3857886,32144,30,169577.18,0
0,0,0,0,0,1,3,8.5802098,35035,40,108496.35,0
0,0,0,0,0,1,14,9.8488578,11345,31,130480.48,0
0,1,4,7,19,54,124,0.9165054,4149,34,115810.76,1
5,5,8,10,25,44,166,0.058,32393,30,142538.14,1
0,0,0,0,0,2,35,8.9972173,32393,30,142538.14,0
15,16,25,59,74,132,214,0.0374833,34221,28,182927.31,1
0,0,0,0,0,0,2,14.1826794,39305,37,138248,0
0,0,0,0,0,1,35,8.9442719,32393,30,142538.14,0
0,2,7,15,28,49,122,4.5157843,11258,38,116987,1
0,2,5,9,21,42,148,1.8008093,26977,23,148577.18,1
0,0,0,1,1,2,18,4.0311289,11311,34,124159,0
0,0,0,0,2,2,3,6.0638272,6232,39,128184,0
0,1,5,9,34,65,127,1.0251932,26977,23,148577.18,1
0,1,1,6,11,22,133,0.8123733,32144,30,169577.18,1
0,0,0,0,0,0,9,10.6775465,15069,44,100927.19,0
1,5,15,56,105,168,245,1.5957028,34221,28,182927.31,1
1,1,6,13,24,65,178,0.0151327,8283,36,117590.58,1
6,7,9,47,77,157,245,0.032,18614,30,169443.96,1
0,2,5,5,6,28,95,1.4097805,34221,28,182927.31,1
0,0,0,1,4,10,68,4.779336,32393,30,142538.14,1
0,0,2,8,17,54,118,6.8067494,9005,31,105797,1
2,2,7,24,63,114,240,0.4012107,36981,31,164856,1
0,2,5,11,42,101,189,12.6905477,11251,41,106476,1
0,2,7,14,27,61,136,11.3681541,6232,39,128184,1
0,0,0,6,6,6,12,2.5094549,16734,38,150821.66,0
0,1,0,4,9,12,185,0.562466,12210,31,131646.75,1
0,0,0,0,0,0,4,14.3125819,13117,41,90426.02,0
0,0,0,0,0,1,5,7.9429214,7394,38,87500,0
1,1,12,27,45,105,265,0.0178045,17870,41,143598.91,1
2,4,18,40,72,123,212,0.1024207,34221,28,182927.31,1
2,2,2,10,55,77,186,0.1103857,18614,30,169443.96,1
0,0,0,1,1,3,8,4.6216224,11311,34,124159,0
0,2,5,14,24,63,168,10.1530794,27338,37,136748,1
0,0,0,1,1,3,7,4.8764741,7820,32,103761.97,0
0,0,0,1,2,2,4,3.1575954,23639,42,90300,0
9,9,26,71,106,146,237,0.0578014,34221,28,182927.31,1
0,1,1,2,2,3,6,0.8384349,12356,37,101759,0
7,18,22,42,57,94,231,0.029,36981,31,164856,1
0,0,0,0,0,1,5,8.2862745,35035,40,108496.35,0
1,1,2,9,19,63,155,0,18614,30,169443.96,1
0,0,0,1,1,3,4,2.3853721,27338,37,136748,0
0,0,0,1,1,1,7,3.2572995,15069,44,100927.19,0
0,0,0,0,0,2,4,8.7450929,17870,41,143598.91,0
0,0,0,1,2,3,14,2.7180149,9005,31,105797,0
0,0,0,0,1,1,4,5.8412327,15069,44,100927.19,0
0,0,1,1,3,3,8,1.7893018,12360,42,95556,0
7,18,22,42,57,94,231,0.0306757,36981,31,164856,1
0,1,2,12,30,51,87,0.5912597,34221,28,182927.31,0
0,0,0,2,7,14,50,3.9940719,34221,28,182927.31,0
0,1,5,6,21,45,125,1.019949,11311,34,124159,1
15,16,21,59,74,130,214,0.0325576,34221,28,182927.31,1
0,0,0,0,0,0,3,11.2436824,8748,32,158305,0
0,0,0,1,2,2,6,3.3060551,3673,41,125552,0
15,16,23,59,74,129,215,0.0440454,34221,28,182927.31,1
9,9,26,73,106,147,237,0.0092195,34221,28,182927.31,1
0,0,0,0,0,1,1,7.8230429,3549,42,90300,0
7,18,22,42,57,94,231,0.0310161,36981,31,164856,1
0,0,0,0,1,1,5,5.1796328,17870,41,143598.91,0
0,0,0,1,1,1,3,4.6043458,7769,42,106839.01,0
0,0,0,0,0,2,11,7.6216796,16734,38,150821.66,0
0,0,0,1,1,1,2,3.4058773,7769,42,106839.01,0
0,0,0,0,1,1,4,6.2624552,6232,39,128184,0
7,18,22,42,57,94,231,0.0254951,36981,31,164856,1
0,0,0,0,0,0,0,24.4730464,7539,45,157492,0
0,0,0,1,1,1,6,2.492508,17870,41,143598.91,0
0,0,0,1,1,2,3,4.4294469,15069,44,100927.19,0
0,0,2,4,10,20,40,0.604331,34221,28,182927.31,0
4,4,28,63,100,146,236,0.007,34221,28,182927.31,1
0,0,0,0,1,3,10,6.8622154,11345,31,130480.48,0
15,16,23,59,74,132,214,0.0388973,34221,28,182927.31,1
0,0,2,6,19,45,175,9.0593777,6191,37,123540,1
2,5,23,73,100,150,240,0.0516236,34221,28,182927.31,1
0,3,16,34,78,140,244,1.2035169,36981,31,164856,1
0,0,0,0,0,2,3,8.832327,9450,38,96353.24,0
7,18,22,42,57,94,231,0.0288617,36981,31,164856,1
0,0,0,0,1,2,6,6.4041372,12360,42,95556,0
15,16,21,59,75,131,214,0.0410366,34221,28,182927.31,1
0,0,0,2,2,2,13,3.3734256,12346,41,117432,0
0,0,1,1,1,2,4,1.8748365,9450,38,96353.24,0
0,0,0,1,3,4,18,2.1633308,11311,34,124159,0
0,1,8,13,20,56,203,0.6904837,18614,30,169443.96,1
0,0,0,1,1,2,5,2.1931712,9450,38,96353.24,0
5,7,15,32,45,126,224,0.0296142,34221,28,182927.31,1
0,2,2,24,40,98,177,0.7128172,16734,38,150821.66,1
0,1,5,15,21,54,128,0.9165054,6232,39,128184,1
2,6,17,33,64,121,229,0.8765444,34221,28,182927.31,1
2,5,16,53,64,107,239,0.3208816,18614,30,169443.96,1
0,4,7,24,54,122,254,5.6097041,13117,41,90426.02,1
5,7,15,32,45,126,224,0.0064031,34221,28,182927.31,1
0,0,0,0,0,2,4,8.7091905,12356,37,101759,0
