Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,0,0,0,3,13.9283883,11914,38,107411.92,0
0,0,0,0,3,3,10,5.5946403,13117,41,90426.02,0
0,0,0,0,0,0,8,10.7703296,32393,30,142538.14,0
0,2,12,32,45,100,227,0.6752231,34221,28,182927.31,1
0,0,5,6,6,7,69,1.3205847,34221,28,182927.31,1
0,0,0,0,2,4,16,5.9816386,11311,34,124159,0
0,2,3,17,21,61,183,0.573614,18614,30,169443.96,0
15,16,21,59,74,130,214,0.0325576,34221,28,182927.31,1
0,0,0,0,0,2,7,9.2098201,11345,31,130480.48,1
0,0,0,0,0,0,1,17.1735261,6513,35,102979.26,0
0,0,1,7,7,7,23,1.6628821,26977,23,148577.18,0
0,0,0,0,0,0,0,20.0192407,16871,35,144796,0
2,4,20,34,82,135,228,0.0609016,34221,28,182927.31,1
0,0,0,0,0,0,3,10.3,5023,39,111509.65,1
0,0,0,0,1,1,5,5.2895794,6232,39,128184,0
2,2,2,4,7,32,158,0.0133417,32393,30,142538.14,1
0,0,0,0,0,0,5,10.264989,16871,35,144796,0
0,0,0,0,0,0,3,12.6763559,5023,39,111509.65,0
7,10,26,63,94,141,225,0.0370135,34221,28,182927.31,1
0,0,0,0,0,0,4,11.3681541,6232,39,128184,1
0,0,0,1,1,1,12,3.2649655,9546,34,147858.21,0
0,0,0,0,1,2,7,5.4405882,20434,39,126866,0
3,3,3,4,4,24,77,0.0490102,6232,39,128184,1
0,0,0,2,2,2,6,4.0142677,23639,42,90300,0
0,0,0,1,1,2,8,4.6389654,11311,34,124159,0
0,0,0,0,0,0,5,10.7797501,3673,41,125552,0
0,0,0,0,0,0,2,17.6147665,5023,39,111509.65,0
0,0,0,0,0,0,3,10.7298649,29708,32,152263,0
0,0,0,1,3,5,15,2.2472955,27534,32,132468,1
0,0,1,1,1,1,4,1.5581168,7394,38,87500,0
2,2,2,2,4,6,10,0.3661939,20434,39,126866,0
0,0,0,0,0,0,3,10.026465,39305,37,138248,0
0,0,0,0,1,1,6,6.4456454,23639,42,90300,0
0,0,0,0,1,1,4,5.4341513,39305,37,138248,0
0,0,0,0,1,2,6,5.2109596,6191,37,123540,0
0,0,0,0,0,1,9,7.3575879,11258,38,116987,0
0,0,0,0,0,1,3,7.0007142,9450,38,96353.24,0
0,0,0,0,6,8,13,5.1273434,8283,36,117590.58,0
0,0,0,1,1,1,3,3.2249031,7769,42,106839.01,0
0,1,5,17,42,116,249,0.8588111,34221,28,182927.31,1
0,0,0,0,0,1,10,8.4067949,12360,42,95556,1
0,0,0,0,0,2,4,7.5286121,11251,41,106476,0
0,0,0,1,4,7,68,4.779336,32393,30,142538.14,1
0,0,0,5,5,6,14,4.1593269,16734,38,150821.66,0
15,16,20,59,75,131,214,0.0349857,34221,28,182927.31,1
0,0,0,1,2,7,24,2.5495098,12210,31,131646.75,0
0,0,1,1,1,2,6,1.9208386,27338,37,136748,0
0,0,0,0,0,0,5,11.448144,16871,35,144796,0
0,0,0,0,0,1,9,8.3384651,8924,42,125739.63,0
0,0,0,3,6,7,21,4.5016029,12210,31,131646.75,0
0,0,0,0,0,1,11,9.625487,12360,42,95556,0
0,0,0,0,0,11,101,8.0404383,32393,30,142538.14,0
0,1,1,1,1,1,3,0.8544004,8779,39,102729.61,0
0,0,0,0,0,1,9,9.7213919,20434,39,126866,0
0,0,0,0,0,1,3,7.6059187,7492,41,87300,0
0,0,0,0,1,1,3,5.5414554,7394,38,87500,0
0,0,1,2,3,4,14,1.0228245,27534,32,132468,0
0,0,1,1,1,1,2,1.17047,16871,35,144796,0
0,0,0,0,0,0,0,20.0571683,7492,41,87300,1
0,0,0,0,0,1,3,8.9554453,11914,38,107411.92,0
0,0,0,1,2,2,9,3.1144823,12360,42,95556,0
0,0,1,5,6,22,84,1.9501859,6232,39,128184,0
0,0,1,1,3,4,21,1.6653159,26977,23,148577.18,0
0,0,0,0,1,2,5,6.2361847,27338,37,136748,0
0,0,0,0,0,1,4,9.9987196,29708,32,152263,0
0,0,0,0,0,0,2,10.0895986,16871,35,144796,0
1,1,12,39,86,128,234,0.1219561,34221,28,182927.31,1
0,0,0,1,1,1,10,3.6687873,9546,34,147858.21,0
0,0,0,0,0,1,4,8.7206651,27338,33,137513.32,0
1,1,1,1,1,4,18,0.2828427,11311,34,124159,0
3,3,3,4,5,5,10,0.069029,16734,38,150821.66,1
0,0,0,0,0,0,3,11.0419078,7394,38,87500,0
1,2,2,2,2,2,7,0.3518273,16734,38,150821.66,1
0,0,0,1,6,7,24,4.9293807,9809,40,146348,0
0,0,0,0,0,0,5,14.8872386,35035,40,108496.35,1
0,0,0,1,2,2,16,4.6503339,9005,31,105797,0
5,5,8,10,25,44,165,0.058,32393,30,142538.14,1
0,0,1,1,2,3,12,1.8027756,9005,31,105797,0
0,0,0,0,1,2,3,5.7982756,15069,44,100927.19,0
0,0,0,0,0,1,39,7.3904821,6232,39,128184,0
0,0,0,0,0,1,4,9.466784,35035,40,108496.35,0
0,0,0,0,0,1,8,7.6694198,17516,34,126162.82,0
0,0,0,0,2,3,5,6.3294291,8779,39,102729.61,0
0,0,0,0,0,0,10,10.791972,17516,34,126162.82,0
0,0,0,0,0,0,4,11.6211015,23639,42,90300,0
0,0,0,0,0,0,3,10.10198,15069,44,100927.19,0
1,1,8,67,105,140,229,0.1281562,34221,28,182927.31,1
0,0,0,0,0,4,17,7.8119158,9809,40,146348,0
0,0,0,1,3,3,6,2.5954595,12356,37,101759,0
0,0,0,1,1,1,3,3.2388269,5023,39,111509.65,0
0,0,0,0,1,2,13,5.770607,6232,39,128184,0
0,0,0,0,0,1,5,8.0802228,5023,39,111509.65,0
0,0,0,1,1,1,4,4.2107007,3673,41,125552,0
0,0,0,2,3,6,12,2.4144923,27534,32,132468,0
0,0,0,0,2,3,7,5.9615434,18295,36,108496.35,0
0,0,0,1,1,2,5,4.472136,17870,41,143598.91,0
0,0,0,0,0,2,6,8.0919713,27338,37,136748,0
0,0,0,0,9,13,23,5.0152732,26977,23,148577.18,0
0,0,0,1,1,1,3,4.4418465,6513,35,102979.26,0
0,0,0,0,0,0,8,10.9224539,12346,41,117432,0
0,0,2,3,4,8,60,1.0475198,32393,30,142538.14,1
0,0,0,0,0,1,10,8.684121,32393,30,142538.14,0
0,0,0,0,0,1,7,8.6406018,16871,35,144796,0
0,0,0,1,1,2,6,2.6172505,8779,39,102729.61,0
7,10,27,62,87,136,223,0.029,34221,28,182927.31,1
0,0,0,0,0,0,2,13.2094663,5023,39,111509.65,0
0,0,0,0,0,1,5,8.7,27338,37,136748,0
0,0,0,1,2,2,9,4.201477,18295,36,108496.35,0
0,0,0,0,0,1,5,9.1,15069,44,100927.19,0
0,0,0,0,1,1,4,6.720863,16871,35,144796,0
0,0,0,1,1,3,5,4.1880783,8924,42,125739.63,0
0,0,0,0,0,1,4,7.8746428,11251,41,106476,0
1,1,1,1,1,1,3,0.2828427,11251,41,106476,0
